id_alumne,TTC,CP,FDD,DRO,PIC,EC,SDL,FDPTD,HD,DCP,OTE,PD,DOC,DIC,DFT,FDA,DPC,IDCE,DR,PST,CAA,DEM,DTS,DPP,DS,BPU
6291,5.0,6.5,5.0,5.0,4.0,6.5,6.0,7.0,5.0,5.8,6.5,4.9,1.4,7.0,0.0,5.5,4.0,5.0,,,2.3,6.6,,,,
6293,7.0,5.4,5.0,6.5,6.0,6.0,8.5,6.1,7.0,7.6,2.5,6.8,5.0,2.5,7.0,5.8,0.7,6.0,,,,,,,,
6297,6.2,7.8,6.0,5.6,4.0,5.0,2.0,0.7,2.0,5.0,1.0,,4.0,6.5,,,,,,,,,,,,
6300,6.3,,6.2,6.3,7.0,,5.7,7.0,,6.0,8.5,,6.5,,,6.6,,,,,,,,,,
6303,4.5,6.5,7.0,5.2,4.6,6.5,5.0,3.1,2.0,1.1,6.7,5.4,3.5,5.5,6.4,,,5.0,,,,,,,,
6307,8.2,7.3,8.5,5.0,9.0,7.3,6.0,5.1,6.5,6.4,7.5,5.0,5.2,7.1,5.0,5.8,4.0,5.0,,,,,,,,
6309,8.3,7.0,5.2,6.0,5.6,7.5,5.0,7.0,5.1,6.7,5.0,5.3,3.0,6.6,6.1,5.7,6.0,5.5,5.0,6.1,6.4,6.0,,2.0,3.2,5.4
6312,5.9,4.0,5.9,5.9,5.9,5.9,5.2,5.5,5.9,5.0,2.0,,7.5,3.2,5.7,,2.0,,,,,,,,,
6316,,5.0,1.0,5.0,7.0,5.0,6.0,7.2,0.0,6.3,5.1,6.5,4.0,6.0,6.0,6.3,,5.2,,,,,,,,
6322,5.0,8.4,6.0,5.3,5.0,5.0,5.0,5.0,6.0,4.2,,6.0,5.6,5.3,8.0,,6.5,,,,,,,,,
6323,7.7,7.8,5.5,5.0,5.6,8.0,5.7,8.5,0.4,6.0,6.0,10.0,6.1,8.3,6.0,5.5,,5.5,,,,,,,,
6324,6.0,8.0,3.5,6.0,2.0,5.0,2.9,1.6,1.5,5.6,,,0.1,3.5,,,0.2,,,,,,,,,
6326,6.3,7.7,1.2,6.0,4.0,5.0,1.5,6.1,1.0,6.8,4.0,,7.6,,,,,,,,,,,,,
6330,5.9,3.4,1.2,2.4,3.0,0.0,5.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,
6333,3.8,,,,,,,,,,,,,,,,,,,,,,,,,
6334,4.9,3.9,6.0,7.0,5.6,6.0,5.8,5.0,5.0,,,,6.5,7.0,,6.0,5.8,,,,,,,,,
6337,8.4,7.3,5.0,6.5,2.4,5.0,5.2,6.3,6.0,6.0,,,,,,,,,,,,,,,,
6340,2.3,,,1.1,,,,,,,,,,,,,,,,,,,,,,
6342,8.3,,3.5,1.6,5.3,6.0,5.0,0.7,5.0,5.0,6.5,,,,,,,,,,,,,,,
6343,9.7,8.0,9.2,7.3,5.5,10.0,6.4,9.2,7.0,8.6,7.2,8.0,6.5,6.5,,,10.0,8.5,,,,,,,,
6352,4.5,0.0,5.0,1.1,1.6,,,0.9,,,,,,,,,,,,,,,,,,
6357,5.5,6.0,2.5,3.9,5.7,3.8,2.0,5.3,1.0,6.2,6.0,5.5,,,5.2,,0.5,,,,,,,,,
6358,5.4,6.7,5.0,3.7,5.0,6.0,5.5,5.2,5.3,3.9,6.0,2.6,6.4,4.0,7.0,5.6,5.0,5.5,,,,,,,,
6359,4.2,5.0,5.0,5.5,6.0,5.0,7.5,6.1,8.0,9.0,7.0,8.8,7.4,8.0,8.0,9.2,6.5,7.0,,,,,,,,
6363,3.8,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,
6364,7.2,,7.4,5.4,7.3,,6.7,6.3,4.4,7.8,6.0,,5.5,,,4.0,,,,,,,,,,
6365,5.7,,6.0,1.7,5.0,,2.0,3.5,,2.8,5.0,,,,,2.0,,,,,,,,,,
6367,6.6,6.4,5.8,5.2,7.0,3.5,5.0,5.9,4.0,6.8,5.0,5.3,5.5,6.0,5.5,6.0,5.0,8.0,,,,,,,,
6368,5.9,5.0,5.0,6.8,1.5,5.3,5.0,6.6,5.0,3.9,5.5,4.0,3.3,7.0,5.5,1.9,6.0,6.3,,,,,,,,
6369,7.7,8.0,10.0,7.6,10.0,9.0,8.0,8.5,8.0,9.3,8.0,9.3,9.0,9.0,10.0,9.9,7.6,9.1,,,,,,,,
6370,8.0,7.1,7.7,7.2,5.5,9.0,6.5,5.8,9.0,8.0,5.0,6.8,7.2,7.6,8.0,7.3,5.0,6.0,,,,,,,,
6371,7.3,,9.5,9.0,9.5,,9.5,8.2,7.5,7.2,10.0,,8.0,,,8.0,,,,,,,,,,
6372,1.4,,,0.0,,,,,,,,,,,,,,,,,,,,,,
6373,7.5,7.0,7.7,9.2,9.0,9.5,9.0,9.0,7.0,9.2,7.0,9.0,8.8,7.7,9.0,9.8,9.0,9.0,,,,,,,,
6374,2.6,6.0,5.1,6.3,5.5,6.0,5.4,8.1,3.3,6.2,8.5,6.0,5.4,7.2,7.3,8.4,5.0,8.0,,,,,,,,
6376,2.9,2.3,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,
6378,6.2,7.8,6.3,6.3,6.5,0.0,6.0,4.0,5.2,5.0,6.0,9.0,5.9,8.0,7.7,9.2,2.0,8.0,,,,,,,,
6379,4.4,,6.0,3.5,1.0,,5.0,6.0,,2.0,4.0,,5.6,,,4.0,,,,,,,,,,
6382,8.0,8.1,8.5,7.4,8.0,8.0,5.0,6.5,8.0,9.1,8.0,8.9,10.0,7.5,9.0,7.5,6.0,8.5,,,,,,,,
6383,6.4,5.6,6.4,8.2,7.6,7.7,9.0,7.1,6.3,7.1,9.0,8.8,8.6,10.0,7.5,9.5,8.0,10.0,,,,,,,,
6384,7.6,,8.0,8.2,8.0,,8.5,,7.2,7.2,,,0.2,0.0,,,,,,,,,,,,
6385,1.7,2.4,5.0,5.4,2.5,5.0,7.0,2.7,1.0,1.1,,,,,,2.0,5.0,,,,,,,,,
6386,6.9,5.0,6.2,5.7,6.2,5.0,4.0,3.0,5.2,6.3,6.5,8.4,6.0,6.5,3.9,9.2,6.6,5.5,,,,,,,,
6388,5.9,5.4,6.5,7.0,1.5,5.0,5.5,7.0,1.0,5.7,2.0,5.5,5.0,5.0,6.3,,8.0,6.0,,,,,,,,
6389,5.6,5.3,5.0,3.0,3.0,6.0,5.0,5.2,3.5,3.5,1.0,,0.2,,2.2,4.0,,,,,,,,,,
