id_alumne,P1,DDB,IO,ALGE,CAL,MD,FIS,ALGO,P2,ED,ELEC,AA,DS,EC,ICC,EMP,PIE,PAE,PIS,SO1,IA,SO2,TNUI,VA,XAR,BD,FHIC,GiVD,LIL,SWD
465,0.5,0.0,,2.5,2.8,,,5.0,,,,,,,,,,,,,,,,,,,,,,
475,4.4,1.5,5.4,2.5,5.7,2.5,5.0,6.3,6.4,,3.6,5.4,3.8,5.0,6.1,6.0,6.9,5.0,10.0,5.0,5.6,6.7,7.0,7.2,,,5.0,6.0,6.5,5.1
477,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,
479,6.0,6.0,5.4,0.2,5.3,1.5,5.0,5.6,6.0,6.0,4.5,3.0,,5.9,,5.9,5.0,6.7,6.4,6.2,,,,,6.0,6.0,,,,
481,7.4,6.4,7.3,5.0,7.3,6.0,6.6,8.5,7.8,8.3,7.7,5.0,5.1,2.8,8.7,6.1,5.0,7.3,10.0,6.9,6.2,6.3,6.6,7.9,7.2,,,,6.1,
483,5.0,5.0,5.4,5.5,7.3,4.5,4.3,6.0,0.6,4.0,5.0,6.0,4.2,5.0,5.0,7.2,7.5,7.2,8.0,5.7,5.5,7.2,7.0,6.6,4.5,6.7,6.0,5.3,7.4,5.2
485,6.0,5.0,4.3,5.0,6.4,4.0,5.2,7.1,6.0,6.0,6.7,2.0,6.0,2.7,,2.8,5.6,6.5,6.0,5.0,5.0,5.1,1.5,5.3,,6.0,5.0,,,6.2
487,4.0,5.0,5.0,5.3,5.6,4.0,2.2,5.2,6.0,6.1,,0.0,3.8,1.8,,,,8.1,6.0,,,,,,,,,,,
489,0.2,0.0,0.0,0.9,3.2,,,0.4,0.3,,,,,,,,,,,,,,,,,,,,,
490,6.0,,,,,,,,6.0,6.0,,,6.0,,,,,,6.0,,,,,,,6.0,,,,
491,0.1,,,0.6,1.5,0.4,,2.0,,,,,,,,,,,,,,,,,,,,,,
492,6.0,8.2,6.5,6.6,7.6,5.0,6.2,7.5,6.0,6.0,6.9,6.2,,5.0,6.2,6.9,9.0,9.5,9.0,7.1,6.3,5.0,6.4,5.0,6.0,6.0,10.0,8.0,7.7,5.0
493,0.8,,,,,,3.2,,0.8,0.6,,,,,,,,,,,,,,,,,,,,
494,7.0,,5.7,5.0,5.7,5.7,6.7,0.6,,0.0,,,,,,,,,,,,,,,,,,,,
497,2.0,6.7,4.3,5.0,5.9,4.4,5.0,6.1,6.1,4.0,3.7,7.0,6.0,5.6,6.1,6.1,6.6,9.0,8.0,5.0,5.1,8.4,6.4,5.9,6.0,5.2,6.4,5.0,5.9,6.4
